sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_KHI_IND_01,Karachi,industrial,136.05,211.65,924.64,45.0,29.71,24.98,192.59,UNHEALTHY,2026-07-13T07:59:28Z
PKS_KHI_TRF_02,Karachi,traffic,75.51,119.16,723.85,45.0,65.81,14.8,161.33,UNHEALTHY,2026-07-13T07:59:28Z
PKS_LHR_RES_01,Lahore,residential,46.73,56.95,490.45,38.99,76.56,14.17,128.65,UNHEALTHY,2026-07-13T07:59:28Z
PKS_LHR_IND_02,Lahore,industrial,130.37,179.44,1256.61,43.43,34.31,23.48,189.66,UNHEALTHY,2026-07-13T07:59:28Z
PKS_ISB_PRK_01,Islamabad,park,9.24,13.53,613.09,34.86,90.0,9.99,38.5,GOOD,2026-07-13T07:59:28Z
PKS_ISB_TRF_02,Islamabad,traffic,309.61,448.79,1182.26,42.15,43.67,11.64,348.07,HAZARDOUS,2026-07-13T07:59:28Z
PKS_PEW_IND_01,Peshawar,industrial,357.23,564.21,1171.5,42.62,54.16,24.37,385.99,HAZARDOUS,2026-07-13T07:59:28Z
PKS_PEW_RES_02,Peshawar,residential,52.79,69.98,512.83,35.65,60.05,4.84,143.57,UNHEALTHY,2026-07-13T07:59:28Z
PKS_MUL_TRF_01,Multan,traffic,87.75,122.4,753.6,30.88,28.06,38.64,167.65,UNHEALTHY,2026-07-13T07:59:28Z
PKS_MUL_PRK_02,Multan,park,35.46,44.04,779.35,36.63,90.0,13.32,500.0,HAZARDOUS,2026-07-13T07:59:28Z
PKS_KHI_IND_01,Karachi,industrial,108.45,135.75,979.45,45.0,29.14,28.36,178.34,UNHEALTHY,2026-07-13T08:11:00Z
PKS_KHI_TRF_02,Karachi,traffic,66.24,102.08,733.74,43.59,70.21,15.63,156.55,UNHEALTHY,2026-07-13T08:11:00Z
PKS_LHR_RES_01,Lahore,residential,47.54,70.65,614.01,32.52,42.35,11.95,130.65,UNHEALTHY,2026-07-13T08:11:00Z
PKS_LHR_IND_02,Lahore,industrial,98.21,149.73,905.35,42.14,48.66,9.96,173.05,UNHEALTHY,2026-07-13T08:11:00Z
PKS_ISB_PRK_01,Islamabad,park,14.89,19.59,540.92,36.1,70.44,15.27,56.87,MODERATE,2026-07-13T08:11:00Z
PKS_ISB_TRF_02,Islamabad,traffic,88.03,135.98,886.89,45.0,73.14,26.59,167.8,UNHEALTHY,2026-07-13T08:11:00Z
PKS_PEW_IND_01,Peshawar,industrial,149.52,209.76,987.17,45.0,23.27,7.06,199.55,UNHEALTHY,2026-07-13T08:11:00Z
PKS_PEW_RES_02,Peshawar,residential,56.94,77.12,596.5,45.0,51.4,23.86,151.74,UNHEALTHY,2026-07-13T08:11:00Z
PKS_MUL_TRF_01,Multan,traffic,104.41,133.97,733.66,45.0,57.21,18.67,176.25,UNHEALTHY,2026-07-13T08:11:00Z
PKS_MUL_PRK_02,Multan,park,13.4,20.85,479.04,45.0,63.48,12.53,53.73,MODERATE,2026-07-13T08:11:00Z
PKS_KHI_IND_01,Karachi,industrial,129.99,175.39,702.42,43.47,46.44,21.87,189.46,UNHEALTHY,2026-07-13T08:13:49Z
PKS_KHI_TRF_02,Karachi,traffic,93.73,132.64,795.32,37.96,27.12,15.13,170.74,UNHEALTHY,2026-07-13T08:13:49Z
PKS_LHR_RES_01,Lahore,residential,115.6,174.76,785.88,45.0,66.24,5.2,182.03,UNHEALTHY,2026-07-13T08:13:49Z
PKS_LHR_IND_02,Lahore,industrial,451.82,600.0,1186.58,34.77,42.67,20.65,461.31,HAZARDOUS,2026-07-13T08:13:49Z
PKS_ISB_PRK_01,Islamabad,park,56.69,75.84,852.95,31.96,62.91,8.27,151.61,UNHEALTHY,2026-07-13T08:13:49Z
PKS_ISB_TRF_02,Islamabad,traffic,87.27,117.73,753.75,43.58,73.63,26.63,167.4,UNHEALTHY,2026-07-13T08:13:49Z
PKS_PEW_IND_01,Peshawar,industrial,172.82,269.33,1226.14,41.78,34.75,23.67,223.12,HAZARDOUS,2026-07-13T08:13:49Z
PKS_PEW_RES_02,Peshawar,residential,58.62,71.46,675.16,40.59,54.47,8.0,152.61,UNHEALTHY,2026-07-13T08:13:49Z
PKS_MUL_TRF_01,Multan,traffic,93.84,120.46,937.05,41.51,37.75,28.39,170.8,UNHEALTHY,2026-07-13T08:13:49Z
PKS_MUL_PRK_02,Multan,park,24.49,29.74,465.56,31.3,90.0,9.31,77.06,MODERATE,2026-07-13T08:13:49Z
PKS_KHI_IND_01,Karachi,industrial,447.82,600.0,1169.5,40.06,45.73,26.31,458.13,HAZARDOUS,2026-07-13T08:14:01Z
PKS_KHI_TRF_02,Karachi,traffic,105.26,146.73,967.59,35.29,71.63,20.61,176.69,UNHEALTHY,2026-07-13T08:14:01Z
PKS_LHR_RES_01,Lahore,residential,53.56,76.43,675.68,45.0,43.75,10.35,145.47,UNHEALTHY,2026-07-13T08:14:01Z
PKS_LHR_IND_02,Lahore,industrial,115.9,182.07,992.81,45.0,27.79,29.49,182.19,UNHEALTHY,2026-07-13T08:14:01Z
PKS_ISB_PRK_01,Islamabad,park,16.09,23.24,581.22,31.86,59.89,17.52,59.39,MODERATE,2026-07-13T08:14:01Z
PKS_ISB_TRF_02,Islamabad,traffic,351.81,549.12,1146.11,45.0,30.41,39.21,381.68,HAZARDOUS,2026-07-13T08:14:01Z
PKS_PEW_IND_01,Peshawar,industrial,116.65,158.84,795.13,43.86,58.9,24.57,182.57,UNHEALTHY,2026-07-13T08:14:01Z
PKS_PEW_RES_02,Peshawar,residential,53.76,68.88,508.93,45.0,77.89,11.84,145.96,UNHEALTHY,2026-07-13T08:14:01Z
PKS_MUL_TRF_01,Multan,traffic,81.24,105.95,760.68,40.96,46.55,20.09,164.29,UNHEALTHY,2026-07-13T08:14:01Z
PKS_MUL_PRK_02,Multan,park,13.96,19.63,486.37,31.01,90.0,18.13,54.91,MODERATE,2026-07-13T08:14:01Z
PKS_KHI_IND_01,Karachi,industrial,159.67,237.14,1124.69,45.0,14.15,13.53,210.09,HAZARDOUS,2026-07-13T08:14:12Z
PKS_KHI_TRF_02,Karachi,traffic,110.7,136.32,850.7,45.0,61.98,33.61,179.5,UNHEALTHY,2026-07-13T08:14:12Z
PKS_LHR_RES_01,Lahore,residential,53.77,77.74,618.94,43.05,45.12,8.68,145.99,UNHEALTHY,2026-07-13T08:14:12Z
PKS_LHR_IND_02,Lahore,industrial,148.69,211.68,1260.07,42.38,43.03,29.69,199.12,UNHEALTHY,2026-07-13T08:14:12Z
PKS_ISB_PRK_01,Islamabad,park,12.3,19.48,486.73,40.43,62.71,16.09,51.42,MODERATE,2026-07-13T08:14:12Z
PKS_ISB_TRF_02,Islamabad,traffic,102.09,160.61,780.88,41.8,41.3,27.0,175.06,UNHEALTHY,2026-07-13T08:14:12Z
PKS_PEW_IND_01,Peshawar,industrial,147.42,229.67,853.89,34.98,16.92,21.47,198.46,UNHEALTHY,2026-07-13T08:14:12Z
PKS_PEW_RES_02,Peshawar,residential,61.2,90.91,532.24,45.0,52.68,22.82,153.94,UNHEALTHY,2026-07-13T08:14:12Z
PKS_MUL_TRF_01,Multan,traffic,101.33,146.26,588.64,34.13,34.4,31.24,174.66,UNHEALTHY,2026-07-13T08:14:12Z
PKS_MUL_PRK_02,Multan,park,11.92,15.96,453.57,32.02,60.12,6.55,49.67,GOOD,2026-07-13T08:14:12Z
PKS_KHI_IND_01,Karachi,industrial,468.21,600.0,1378.63,45.0,52.13,8.43,474.37,HAZARDOUS,2026-07-13T08:14:23Z
PKS_KHI_TRF_02,Karachi,traffic,87.59,108.0,940.12,36.36,29.58,19.4,167.57,UNHEALTHY,2026-07-13T08:14:23Z
PKS_LHR_RES_01,Lahore,residential,51.89,74.39,565.7,35.99,52.39,7.02,141.36,UNHEALTHY,2026-07-13T08:14:23Z
PKS_LHR_IND_02,Lahore,industrial,124.14,176.02,1041.72,45.0,30.52,29.53,186.44,UNHEALTHY,2026-07-13T08:14:23Z
PKS_ISB_PRK_01,Islamabad,park,78.66,102.21,798.22,45.0,90.0,17.89,162.96,UNHEALTHY,2026-07-13T08:14:23Z
PKS_ISB_TRF_02,Islamabad,traffic,77.41,120.51,897.34,41.29,54.33,34.72,162.31,UNHEALTHY,2026-07-13T08:14:23Z
PKS_PEW_IND_01,Peshawar,industrial,115.95,171.66,915.6,41.85,60.28,27.55,182.21,UNHEALTHY,2026-07-13T08:14:23Z
PKS_PEW_RES_02,Peshawar,residential,34.69,42.31,620.08,33.86,54.67,12.66,98.51,MODERATE,2026-07-13T08:14:23Z
PKS_MUL_TRF_01,Multan,traffic,92.59,144.58,668.39,37.16,36.03,35.24,170.15,UNHEALTHY,2026-07-13T08:14:23Z
PKS_MUL_PRK_02,Multan,park,15.67,21.49,511.52,41.03,74.04,6.0,58.51,MODERATE,2026-07-13T08:14:23Z
PKS_KHI_IND_01,Karachi,industrial,115.62,181.9,1010.37,39.15,37.2,26.58,182.04,UNHEALTHY,2026-07-13T10:16:30Z
PKS_KHI_TRF_02,Karachi,traffic,98.48,122.57,924.0,45.0,56.04,12.07,173.19,UNHEALTHY,2026-07-13T10:16:30Z
PKS_LHR_RES_01,Lahore,residential,42.82,62.39,563.9,36.55,64.81,15.66,119.02,UNHEALTHY,2026-07-13T10:16:30Z
PKS_LHR_IND_02,Lahore,industrial,131.67,195.73,1045.1,33.85,24.43,10.63,190.33,UNHEALTHY,2026-07-13T10:16:30Z
PKS_ISB_PRK_01,Islamabad,park,15.35,23.8,493.09,34.11,57.12,9.41,57.83,MODERATE,2026-07-13T10:16:30Z
PKS_ISB_TRF_02,Islamabad,traffic,103.64,151.91,776.84,36.27,60.48,32.31,175.86,UNHEALTHY,2026-07-13T10:16:30Z
PKS_PEW_IND_01,Peshawar,industrial,134.12,196.78,1077.34,45.0,35.9,19.56,191.59,UNHEALTHY,2026-07-13T10:16:30Z
PKS_PEW_RES_02,Peshawar,residential,32.73,48.98,574.49,45.0,80.12,16.45,94.38,MODERATE,2026-07-13T10:16:30Z
PKS_MUL_TRF_01,Multan,traffic,103.37,138.76,790.58,45.0,40.38,29.87,175.72,UNHEALTHY,2026-07-13T10:16:30Z
PKS_MUL_PRK_02,Multan,park,69.48,108.71,791.03,35.71,90.0,4.77,158.22,UNHEALTHY,2026-07-13T10:16:30Z
PKS_KHI_IND_01,Karachi,industrial,143.16,223.8,850.19,41.05,18.57,26.67,196.26,UNHEALTHY,2026-07-13T10:16:42Z
PKS_KHI_TRF_02,Karachi,traffic,84.61,113.92,742.86,45.0,39.13,14.07,166.03,UNHEALTHY,2026-07-13T10:16:42Z
PKS_LHR_RES_01,Lahore,residential,41.2,57.4,533.97,45.0,55.98,20.92,115.04,UNHEALTHY,2026-07-13T10:16:42Z
PKS_LHR_IND_02,Lahore,industrial,99.01,131.14,1073.38,45.0,30.81,23.17,173.47,UNHEALTHY,2026-07-13T10:16:42Z
PKS_ISB_PRK_01,Islamabad,park,19.68,25.67,559.29,34.57,90.0,7.15,66.94,MODERATE,2026-07-13T10:16:42Z
PKS_ISB_TRF_02,Islamabad,traffic,364.12,453.59,1082.72,45.0,44.53,25.31,391.48,HAZARDOUS,2026-07-13T10:16:42Z
PKS_PEW_IND_01,Peshawar,industrial,154.28,244.72,877.53,45.0,59.24,10.66,204.75,HAZARDOUS,2026-07-13T10:16:42Z
PKS_PEW_RES_02,Peshawar,residential,94.39,137.34,946.26,40.28,77.14,12.66,171.08,UNHEALTHY,2026-07-13T10:16:42Z
PKS_MUL_TRF_01,Multan,traffic,243.69,298.32,1262.55,38.05,53.25,35.25,293.35,HAZARDOUS,2026-07-13T10:16:42Z
PKS_MUL_PRK_02,Multan,park,22.49,31.85,582.9,32.95,78.2,10.36,72.85,MODERATE,2026-07-13T10:16:42Z
PKS_KHI_IND_01,Karachi,industrial,153.09,242.41,856.77,45.0,23.47,22.97,203.57,HAZARDOUS,2026-07-13T10:16:53Z
PKS_KHI_TRF_02,Karachi,traffic,86.76,112.08,598.5,45.0,23.12,28.63,167.14,UNHEALTHY,2026-07-13T10:16:53Z
PKS_LHR_RES_01,Lahore,residential,57.63,78.11,495.74,31.29,85.53,22.35,152.1,UNHEALTHY,2026-07-13T10:16:53Z
PKS_LHR_IND_02,Lahore,industrial,108.75,140.02,838.76,45.0,28.15,20.53,178.49,UNHEALTHY,2026-07-13T10:16:53Z
PKS_ISB_PRK_01,Islamabad,park,21.2,27.03,577.92,38.55,64.37,5.7,70.14,MODERATE,2026-07-13T10:16:53Z
PKS_ISB_TRF_02,Islamabad,traffic,87.08,137.16,777.96,45.0,36.91,32.57,167.31,UNHEALTHY,2026-07-13T10:16:53Z
PKS_PEW_IND_01,Peshawar,industrial,147.28,180.43,796.96,45.0,39.54,16.35,198.39,UNHEALTHY,2026-07-13T10:16:53Z
PKS_PEW_RES_02,Peshawar,residential,51.54,70.56,633.77,39.1,75.31,16.24,140.5,UNHEALTHY,2026-07-13T10:16:53Z
